tconst,parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0394893,tt0121955,1.0,1.0,7.8,6281.0
tt0458217,tt0121955,8.0,3.0,8.6,4193.0
tt0516772,tt0417299,2.0,5.0,7.3,5845.0
tt0516773,tt0417299,2.0,14.0,8.6,5877.0
tt0516774,tt0417299,1.0,6.0,7.8,6665.0
tt0516775,tt0417299,1.0,10.0,7.6,6518.0
tt0516776,tt0417299,1.0,4.0,8.0,6904.0
tt0516777,tt0417299,1.0,16.0,8.4,6228.0
tt0516778,tt0417299,1.0,14.0,7.7,6204.0
tt0516779,tt0417299,1.0,17.0,7.8,6043.0
tt0516780,tt0417299,1.0,19.0,9.3,7540.0
tt0516782,tt0417299,1.0,18.0,8.6,6248.0
tt0516783,tt0417299,2.0,7.0,9.5,9170.0
tt0583431,tt0108778,7.0,8.0,8.0,4828.0
tt0583432,tt0108778,10.0,9.0,8.4,5000.0
tt0583433,tt0108778,10.0,17.0,9.6,17374.0
tt0583435,tt0108778,8.0,1.0,8.6,5272.0
tt0583436,tt0108778,10.0,1.0,8.4,5359.0
tt0583437,tt0108778,5.0,1.0,8.8,6156.0
tt0583438,tt0108778,6.0,1.0,8.6,5550.0
tt0583439,tt0108778,2.0,12.0,8.5,6450.0
tt0583440,tt0108778,5.0,3.0,8.7,5825.0
tt0583441,tt0108778,6.0,15.0,8.3,5365.0
tt0583442,tt0108778,6.0,16.0,8.3,5247.0
tt0583443,tt0108778,3.0,11.0,8.4,5836.0
tt0583444,tt0108778,4.0,7.0,8.6,5655.0
tt0583445,tt0108778,10.0,10.0,7.8,4801.0
tt0583446,tt0108778,8.0,13.0,8.4,4903.0
tt0583447,tt0108778,2.0,18.0,8.3,5902.0
tt0583448,tt0108778,2.0,17.0,8.1,5896.0
tt0583449,tt0108778,2.0,19.0,8.3,6043.0
tt0583450,tt0108778,9.0,2.0,8.4,5097.0
tt0583451,tt0108778,10.0,15.0,8.4,4787.0
tt0583452,tt0108778,5.0,14.0,9.7,14219.0
tt0583453,tt0108778,2.0,3.0,8.2,6422.0
tt0583454,tt0108778,8.0,12.0,8.4,5043.0
tt0583455,tt0108778,6.0,4.0,8.3,5166.0
tt0583456,tt0108778,2.0,16.0,8.5,6028.0
tt0583457,tt0108778,10.0,13.0,8.3,5225.0
tt0583458,tt0108778,8.0,16.0,8.1,4717.0
tt0583459,tt0108778,1.0,1.0,8.1,11042.0
tt0583460,tt0108778,9.0,13.0,7.9,4639.0
tt0583461,tt0108778,3.0,13.0,8.1,5542.0
tt0583462,tt0108778,1.0,8.0,7.9,7306.0
tt0583463,tt0108778,9.0,1.0,8.5,5121.0
tt0583464,tt0108778,3.0,2.0,8.9,8094.0
tt0583465,tt0108778,2.0,20.0,8.0,5737.0
